2025-07-06 15:30:08 - ModbusReader - INFO - 風速: 0.6 m/s, 風級: 1, 風向角度: 248.8, 風向: 西南西
2025-07-06 15:30:09 - ModbusReader - INFO - 風速: 0.6 m/s, 風級: 1, 風向角度: 248.8, 風向: 西南西
2025-07-06 15:30:40 - ModbusReader - INFO - 風速: 1.0 m/s, 風級: 1, 風向角度: 192.6, 風向: 南南西
2025-07-06 15:30:40 - ModbusReader - INFO - 風速: 1.0 m/s, 風級: 1, 風向角度: 192.6, 風向: 南南西
2025-07-06 15:31:11 - ModbusReader - INFO - 風速: 0.6 m/s, 風級: 1, 風向角度: 285.2, 風向: 西北西
2025-07-06 15:31:11 - ModbusReader - INFO - 風速: 0.6 m/s, 風級: 1, 風向角度: 285.2, 風向: 西北西
2025-07-06 15:31:42 - ModbusReader - INFO - 風速: 0.4 m/s, 風級: 1, 風向角度: 69.3, 風向: 東北東
2025-07-06 15:31:43 - ModbusReader - INFO - 風速: 0.4 m/s, 風級: 1, 風向角度: 69.3, 風向: 東北東
2025-07-06 15:32:13 - ModbusReader - INFO - 風速: 0.5 m/s, 風級: 1, 風向角度: 112.9, 風向: 東南東
2025-07-06 15:32:14 - ModbusReader - INFO - 風速: 0.5 m/s, 風級: 1, 風向角度: 112.9, 風向: 東南東
2025-07-06 15:32:44 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 147.1, 風向: 南南東
2025-07-06 15:32:45 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 147.1, 風向: 南南東
2025-07-06 15:33:16 - ModbusReader - INFO - 風速: 0.7 m/s, 風級: 1, 風向角度: 221.9, 風向: 西南
2025-07-06 15:33:16 - ModbusReader - INFO - 風速: 0.7 m/s, 風級: 1, 風向角度: 221.9, 風向: 西南
2025-07-06 15:33:47 - ModbusReader - INFO - 風速: 0.5 m/s, 風級: 1, 風向角度: 139.3, 風向: 東南
2025-07-06 15:33:47 - ModbusReader - INFO - 風速: 0.5 m/s, 風級: 1, 風向角度: 139.3, 風向: 東南
2025-07-06 15:34:18 - ModbusReader - INFO - 風速: 0.5 m/s, 風級: 1, 風向角度: 167.0, 風向: 南南東
2025-07-06 15:34:19 - ModbusReader - INFO - 風速: 0.5 m/s, 風級: 1, 風向角度: 167.0, 風向: 南南東
2025-07-06 15:34:49 - ModbusReader - INFO - 風速: 1.1 m/s, 風級: 1, 風向角度: 154.5, 風向: 南南東
2025-07-06 15:34:50 - ModbusReader - INFO - 風速: 1.1 m/s, 風級: 1, 風向角度: 154.5, 風向: 南南東
2025-07-06 15:35:20 - ModbusReader - INFO - 風速: 0.7 m/s, 風級: 1, 風向角度: 116.7, 風向: 東南東
2025-07-06 15:35:21 - ModbusReader - INFO - 風速: 0.3 m/s, 風級: 1, 風向角度: 196.3, 風向: 南南西
2025-07-06 15:35:52 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 139.4, 風向: 東南
2025-07-06 15:35:52 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 139.4, 風向: 東南
2025-07-06 15:36:23 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 178.0, 風向: 南
2025-07-06 15:36:23 - ModbusReader - INFO - 風速: 0.0 m/s, 風級: 0, 風向角度: 178.0, 風向: 南
